variant,split,horizon,raw_residual_corr_E2_E3,innovation_corr_E2_E3,partial_residual_corr_given_E1
multi_scale,screening_dev,1,0.9902897575271649,0.9925721239583173,0.9883508902902911
multi_scale,screening_dev,2,0.9856793813054793,0.9793999568058404,0.9796982814522576
multi_scale,screening_dev,3,0.9855039414649907,0.9761123293522178,0.9777818606093681
multi_scale,screening_dev,6,0.9798774782779938,0.9591455380416574,0.9610962546363908
multi_scale,final_eval,1,0.9891707687481565,0.9900591884191775,0.9858612723643726
multi_scale,final_eval,2,0.9888340318926129,0.982625237988861,0.9821947747962023
multi_scale,final_eval,3,0.9906206462797178,0.9840929660846555,0.9840784507928476
multi_scale,final_eval,6,0.9859800773500448,0.976313673732845,0.9763279358059365
memory,screening_dev,1,0.9893436014522371,0.9917519268688451,0.987077683002315
memory,screening_dev,2,0.9843562930195763,0.9773846541848751,0.977647247685424
memory,screening_dev,3,0.9842849484621516,0.9741101777635408,0.9758148608639962
memory,screening_dev,6,0.9787449521732944,0.9568573476411532,0.9588979080877186
memory,final_eval,1,0.9880772985760715,0.9890879939900836,0.9844580502166749
memory,final_eval,2,0.9873523687112846,0.9803513295927466,0.9798395416197577
memory,final_eval,3,0.9889014221197566,0.9811949990500535,0.981172670618023
memory,final_eval,6,0.9827632200898909,0.9711318810350675,0.9711014427868792
full,screening_dev,1,0.9891439548401146,0.991577477543463,0.9867526648772321
full,screening_dev,2,0.9842555911384728,0.9772917744181366,0.9774385971196103
full,screening_dev,3,0.984366316298544,0.9743259960361251,0.9759231505116713
full,screening_dev,6,0.9786514974033337,0.9566560237612327,0.9587099789944385
full,final_eval,1,0.9869837177918068,0.9880652235293079,0.9830148130898346
full,final_eval,2,0.9863802803492142,0.9788088741177472,0.9782804765558648
full,final_eval,3,0.9883298804507276,0.9802163010259385,0.9802007589868862
full,final_eval,6,0.9826117796046223,0.9708101369956758,0.9707842040716149
history_only,screening_dev,1,0.9893535954544647,0.9918165800671859,0.987137613861634
history_only,screening_dev,2,0.9844733644350305,0.97734035259924,0.9779160194151547
history_only,screening_dev,3,0.9841330363254569,0.9734529858445166,0.9756109117755678
history_only,screening_dev,6,0.9803921357535814,0.9591967675331374,0.962089033592015
history_only,final_eval,1,0.9882971913908065,0.9892833271932115,0.9847120068954044
history_only,final_eval,2,0.9862636038726433,0.9786033343793077,0.9780651356708651
history_only,final_eval,3,0.987271335327449,0.9783485661629098,0.9783319849963914
history_only,final_eval,6,0.9780209365557238,0.962646085440765,0.9626496423741906
