expert,config,period,horizon,train_rows,pred_rows,status,reason
E3,memory,calibration_fit,1,8581,4368,ok,
E3,memory,calibration_fit,2,8581,4368,ok,
E3,memory,calibration_fit,3,8581,4368,ok,
E3,memory,calibration_fit,6,8581,4368,ok,
E3,memory,fusion_fit,1,12949,4416,ok,
E3,memory,fusion_fit,2,12949,4416,ok,
E3,memory,fusion_fit,3,12949,4416,ok,
E3,memory,fusion_fit,6,12949,4416,ok,
E3,memory,screening_dev,1,17365,2160,ok,
E3,memory,screening_dev,2,17365,2160,ok,
E3,memory,screening_dev,3,17365,2160,ok,
E3,memory,screening_dev,6,17365,2160,ok,
E3,memory,final_eval,1,19525,6599,ok,
E3,memory,final_eval,2,19525,6599,ok,
E3,memory,final_eval,3,19525,6599,ok,
E3,memory,final_eval,6,19525,6599,ok,
