split,model,horizon,group,n,MAE,RMSE
screening_dev,multi_scale,1,overall,2160,64.85248108456008,104.51399865200108
screening_dev,multi_scale,1,normal,1538,59.585028390922346,96.82698269974108
screening_dev,multi_scale,1,shock,158,95.04900707227816,152.10336416652936
screening_dev,multi_scale,1,recovery,464,72.02983267239496,109.06338098052801
screening_dev,multi_scale,2,overall,2160,78.82519075545346,132.19134649395764
screening_dev,multi_scale,2,normal,1538,72.15228347379055,124.14357848789018
screening_dev,multi_scale,2,shock,158,121.74562646887279,193.32455741953382
screening_dev,multi_scale,2,recovery,464,86.32842902372346,132.42430964242283
screening_dev,multi_scale,3,overall,2160,94.24143698190862,162.8573434713554
screening_dev,multi_scale,3,normal,1538,88.45371018028345,157.93385161015837
screening_dev,multi_scale,3,shock,158,146.81263145766246,234.217082613301
screening_dev,multi_scale,3,recovery,464,95.5243574425345,148.69137102466556
screening_dev,multi_scale,6,overall,2160,105.75382239761855,183.11420944174347
screening_dev,multi_scale,6,normal,1538,100.87192064627254,181.0150441056802
screening_dev,multi_scale,6,shock,158,141.71508703852854,209.23883916358503
screening_dev,multi_scale,6,recovery,464,109.69021265689948,180.4829634235999
final_eval,multi_scale,1,overall,6599,75.69053638875495,117.1240619249694
final_eval,multi_scale,1,normal,3074,66.52670887024493,96.30921428783617
final_eval,multi_scale,1,shock,1018,102.7846679503866,167.62825893439674
final_eval,multi_scale,1,recovery,2507,75.92499185830371,115.43709397293892
final_eval,multi_scale,2,overall,6599,97.79433952006038,156.000313957685
final_eval,multi_scale,2,normal,3074,84.26004850367467,124.46623655236564
final_eval,multi_scale,2,shock,1018,137.12858045770452,227.28708890702455
final_eval,multi_scale,2,recovery,2507,98.41745611752664,155.19547932231453
final_eval,multi_scale,3,overall,6599,116.64418129089529,187.7347315913307
final_eval,multi_scale,3,normal,3074,101.2037957724934,154.3557270904836
final_eval,multi_scale,3,shock,1018,158.27420172531632,255.22415258903754
final_eval,multi_scale,3,recovery,2507,118.67225639313978,192.6297352589544
final_eval,multi_scale,6,overall,6599,129.37156186634326,203.46203705917404
final_eval,multi_scale,6,normal,3074,111.79089608148968,169.72648641281864
final_eval,multi_scale,6,shock,1018,171.1686248945824,269.13397248380164
final_eval,multi_scale,6,recovery,2507,133.9561476102174,210.31216119086466
screening_dev,memory,1,overall,2160,64.85263509130647,104.51459683505162
screening_dev,memory,1,normal,1538,59.58508482394812,96.82675099012052
screening_dev,memory,1,shock,158,95.0498935530156,152.110433275911
screening_dev,memory,1,recovery,464,72.03006068235631,109.06337417010695
screening_dev,memory,2,overall,2160,78.82409714236964,132.1886561016321
screening_dev,memory,2,normal,1538,72.15228345278608,124.14357849141614
screening_dev,memory,2,shock,158,121.72760802956238,193.29570544150218
screening_dev,memory,2,recovery,464,86.32947372513478,132.42614927047558
screening_dev,memory,3,overall,2160,94.23716573546811,162.8514050845723
screening_dev,memory,3,normal,1538,88.45371437140011,157.93385997898207
screening_dev,memory,3,shock,158,146.7542823412602,234.16063991814502
screening_dev,memory,3,recovery,464,95.52432904197974,148.6913352453288
screening_dev,memory,6,overall,2160,105.80950338378337,183.17628452867368
screening_dev,memory,6,normal,1538,100.9450818802251,181.14206442753544
screening_dev,memory,6,shock,158,141.6002168629156,209.01108470458962
screening_dev,memory,6,recovery,464,109.74602826044222,180.443635896029
final_eval,memory,1,overall,6599,75.68871405250152,117.12067136117766
