split,model,horizon,group,n,MAE,RMSE
screening_dev,mse,1,overall,2160,64.85248108456008,104.51399865200108
screening_dev,mse,1,normal,1538,59.585028390922346,96.82698269974108
screening_dev,mse,1,shock,158,95.04900707227816,152.10336416652936
screening_dev,mse,1,recovery,464,72.02983267239496,109.06338098052801
screening_dev,mse,2,overall,2160,78.82519075545346,132.19134649395764
screening_dev,mse,2,normal,1538,72.15228347379055,124.14357848789018
screening_dev,mse,2,shock,158,121.74562646887279,193.32455741953382
screening_dev,mse,2,recovery,464,86.32842902372346,132.42430964242283
screening_dev,mse,3,overall,2160,94.24143698190862,162.8573434713554
screening_dev,mse,3,normal,1538,88.45371018028345,157.93385161015837
screening_dev,mse,3,shock,158,146.81263145766246,234.217082613301
screening_dev,mse,3,recovery,464,95.5243574425345,148.69137102466556
screening_dev,mse,6,overall,2160,105.75382239761855,183.11420944174347
screening_dev,mse,6,normal,1538,100.87192064627254,181.0150441056802
screening_dev,mse,6,shock,158,141.71508703852854,209.23883916358503
screening_dev,mse,6,recovery,464,109.69021265689948,180.4829634235999
final_eval,mse,1,overall,6599,75.69053638875495,117.1240619249694
final_eval,mse,1,normal,3074,66.52670887024493,96.30921428783617
final_eval,mse,1,shock,1018,102.7846679503866,167.62825893439674
final_eval,mse,1,recovery,2507,75.92499185830371,115.43709397293892
final_eval,mse,2,overall,6599,97.79433952006038,156.000313957685
final_eval,mse,2,normal,3074,84.26004850367467,124.46623655236564
final_eval,mse,2,shock,1018,137.12858045770452,227.28708890702455
final_eval,mse,2,recovery,2507,98.41745611752664,155.19547932231453
final_eval,mse,3,overall,6599,116.64418129089529,187.7347315913307
final_eval,mse,3,normal,3074,101.2037957724934,154.3557270904836
final_eval,mse,3,shock,1018,158.27420172531632,255.22415258903754
final_eval,mse,3,recovery,2507,118.67225639313978,192.6297352589544
final_eval,mse,6,overall,6599,129.37156186634326,203.46203705917404
final_eval,mse,6,normal,3074,111.79089608148968,169.72648641281864
final_eval,mse,6,shock,1018,171.1686248945824,269.13397248380164
final_eval,mse,6,recovery,2507,133.9561476102174,210.31216119086466
screening_dev,mae,1,overall,2160,64.81774328127267,104.84605569571629
screening_dev,mae,1,normal,1538,59.79801864288336,97.57665596709425
screening_dev,mae,1,shock,158,94.60276644147925,151.70334766671826
screening_dev,mae,1,recovery,464,71.3140855970703,108.52075048833895
screening_dev,mae,2,overall,2160,78.31610090720238,131.8763497424754
screening_dev,mae,2,normal,1538,71.93459002583018,124.53870944348397
screening_dev,mae,2,shock,158,119.95527679026864,191.19718613165603
screening_dev,mae,2,recovery,464,85.28975165294806,130.77394076146626
screening_dev,mae,3,overall,2160,94.21465605744999,162.73486307756656
screening_dev,mae,3,normal,1538,88.59817093523456,158.12657814615363
screening_dev,mae,3,shock,158,145.6039068460106,232.26041734742842
screening_dev,mae,3,recovery,464,95.33244160351633,148.43307996877385
screening_dev,mae,6,overall,2160,105.88011352636715,183.79444278644792
screening_dev,mae,6,normal,1538,100.85689849488834,181.4719438523375
screening_dev,mae,6,shock,158,142.73241517605268,210.87327494101066
screening_dev,mae,6,recovery,464,109.98149511637602,181.53006781184214
final_eval,mae,1,overall,6599,74.91885504917975,116.64414195811476
final_eval,mae,1,normal,3074,65.80832934774713,95.44603315800931
final_eval,mae,1,shock,1018,102.06466548097092,168.1325755037429
final_eval,mae,1,recovery,2507,75.06696872554211,114.73712869073609
final_eval,mae,2,overall,6599,98.85688789506506,157.43345141092465
final_eval,mae,2,normal,3074,85.36325547291004,125.92613202838457
final_eval,mae,2,shock,1018,137.87148192409416,228.43960709201363
final_eval,mae,2,recovery,2507,99.55994706704467,156.8646509974753
final_eval,mae,3,overall,6599,116.82284075969281,188.02298136064158
final_eval,mae,3,normal,3074,101.326189389703,154.65190892458273
final_eval,mae,3,shock,1018,158.36260335646526,255.18517682126168
final_eval,mae,3,recovery,2507,118.95655754781971,193.09886960392086
final_eval,mae,6,overall,6599,130.06999848811694,204.5803942871641
final_eval,mae,6,normal,3074,112.59675816387391,170.89191430768838
final_eval,mae,6,shock,1018,170.7225445441286,270.0407785984308
final_eval,mae,6,recovery,2507,134.9876087281262,211.53512147359334
screening_dev,huber,1,overall,2160,64.85384493119197,104.89278606116586
screening_dev,huber,1,normal,1538,59.730941059891,97.4321415909429
screening_dev,huber,1,shock,158,95.21080288171765,152.66438378598644
screening_dev,huber,1,recovery,464,71.49743716799765,108.70228833858948
screening_dev,huber,2,overall,2160,78.52547672351494,132.04954511701825
screening_dev,huber,2,normal,1538,72.00458150083865,124.3815797094105
screening_dev,huber,2,shock,158,120.98718895001718,192.61217235354792
screening_dev,huber,2,recovery,464,85.68105069051663,131.3747714062349
screening_dev,huber,3,overall,2160,94.3577041193551,162.9674384370761
screening_dev,huber,3,normal,1538,88.70107790322959,158.3101382883393
screening_dev,huber,3,shock,158,146.29891281499374,233.2289687440781
screening_dev,huber,3,recovery,464,95.42059236610102,148.455230414493
screening_dev,huber,6,overall,2160,106.09604492692307,184.08545716191117
screening_dev,huber,6,normal,1538,100.98270382628174,181.6248635699866
screening_dev,huber,6,shock,158,144.407767894895,213.28362450562443
screening_dev,huber,6,recovery,464,109.99920523693781,181.4369368582694
final_eval,huber,1,overall,6599,74.93686378674936,116.62832846050648
final_eval,huber,1,normal,3074,65.71882538118648,95.33393351843448
final_eval,huber,1,shock,1018,102.57407452731324,168.38854898463967
final_eval,huber,1,recovery,2507,75.01726646916111,114.65663336471793
final_eval,huber,2,overall,6599,98.50316125967203,157.00590705163086
final_eval,huber,2,normal,3074,85.04900864032767,125.49863124087254
final_eval,huber,2,shock,1018,137.67299994448103,228.30951913358626
final_eval,huber,2,recovery,2507,99.09477249650048,156.23242680014857
final_eval,huber,3,overall,6599,116.98982203539076,188.3825270404277
final_eval,huber,3,normal,3074,101.52012857269649,154.77900849340094
final_eval,huber,3,shock,1018,158.7917475941287,256.690980257728
final_eval,huber,3,recovery,2507,118.98402924940233,193.08597983516026
final_eval,huber,6,overall,6599,130.09469144200267,204.42820708066165
final_eval,huber,6,normal,3074,112.66915261292105,170.47247316248826
final_eval,huber,6,shock,1018,170.64351431343533,270.1696548071231
final_eval,huber,6,recovery,2507,134.9959298454644,211.49599827409028
screening_dev,state_huber,1,overall,2160,64.62446155282834,104.59420260777927
screening_dev,state_huber,1,normal,1538,59.6182410834727,97.3559786881059
screening_dev,state_huber,1,shock,158,94.85877356796352,151.91927726198819
screening_dev,state_huber,1,recovery,464,70.92305160342663,107.9419470872701
screening_dev,state_huber,2,overall,2160,78.33798283292732,131.95204932029847
screening_dev,state_huber,2,normal,1538,71.89569760102138,124.45435980581877
screening_dev,state_huber,2,shock,158,120.68982444578685,192.22958752297782
screening_dev,state_huber,2,recovery,464,85.27040462568499,130.8801641994916
screening_dev,state_huber,3,overall,2160,94.39064683695588,162.97078120007637
screening_dev,state_huber,3,normal,1538,88.72434065517731,158.3670934489918
screening_dev,state_huber,3,shock,158,146.09333699320163,232.7621958346368
screening_dev,state_huber,3,recovery,464,95.56684050697446,148.5204011429768
screening_dev,state_huber,6,overall,2160,106.4774136616196,184.25265186663816
screening_dev,state_huber,6,normal,1538,101.67622887506482,182.3313744155795
screening_dev,state_huber,6,shock,158,143.11341663664177,211.26873385983296
screening_dev,state_huber,6,recovery,464,109.91649497986901,180.6792941165863
