removed_expert,horizon,group,n,cluster_type,clusters,delta_MAE_loo_minus_full,ci95_low,ci95_high
E2,1,overall,6599,7_day_block,40,-0.06616914224801496,-0.1426372581327176,0.021606295268767017
E2,1,normal,3074,7_day_block,38,-0.13346737530202807,-0.21326542868852696,-0.05268450984292016
E2,1,shock,1018,event_cluster,118,0.21948649707658108,-0.12865534618587632,0.5855739661578413
E2,1,recovery,2507,event_cluster,118,-0.0996444802713107,-0.22730037204967046,0.020089776837842
E2,2,overall,6599,7_day_block,41,-0.006444030287480022,-0.02387355034390245,0.012181459632790258
E2,2,normal,3074,7_day_block,39,-3.2870052984102465e-08,-6.539010101236202e-08,-1.5937063520801088e-09
E2,2,shock,1018,event_cluster,118,0.028712874612011753,-0.07110996061287302,0.11907880922697978
E2,2,recovery,2507,event_cluster,118,-0.028621364650804046,-0.04118832879682966,-0.01562348400519166
E2,3,overall,6599,7_day_block,41,-0.07891091048567167,-0.17014675617786099,0.019022581984652794
E2,3,normal,3074,7_day_block,39,-0.08648784809534069,-0.13218690479558776,-0.042729759578357215
E2,3,shock,1018,event_cluster,118,0.17255345717179613,-0.20253221055772355,0.45066251712934846
E2,3,recovery,2507,event_cluster,118,-0.17173070309164673,-0.29848142918976855,-0.05249477368227492
E2,6,overall,6599,7_day_block,41,-0.010172996439393827,-0.048240903438789826,0.032146367318192634
E2,6,normal,3074,7_day_block,39,0.0008795755191587316,0.00044167315440262915,0.001269887248004732
E2,6,shock,1018,event_cluster,118,-0.0366676804515134,-0.32977864211678193,0.24235537228883472
E2,6,recovery,2507,event_cluster,118,-0.012966780993144456,-0.031227810621659847,0.004755297472754091
E3,1,overall,6599,7_day_block,40,0.0021499097510164953,-0.005842144032113029,0.010763024383390904
E3,1,normal,3074,7_day_block,38,-0.0009551673360075919,-0.001178112712360724,-0.0007472055605034217
E3,1,shock,1018,event_cluster,118,0.022951181652499517,-0.024319172658835906,0.06362361028371454
E3,1,recovery,2507,event_cluster,118,-0.002489375382688201,-0.007181359397867743,0.0018809317577400061
E3,2,overall,6599,7_day_block,41,-0.009053929318120841,-0.019738292747236447,0.0011601603249214222
E3,2,normal,3074,7_day_block,39,-1.1222501227107737e-07,-1.708090911665246e-07,-5.6143215727825396e-08
E3,2,shock,1018,event_cluster,118,-0.003314483201450638,-0.054148919840378486,0.037822599157262556
