split,model,horizon,group,n,MAE,RMSE
final_eval,full,1,overall,6599,75.69053638875495,117.1240619249694
final_eval,full,1,normal,3074,66.52670887024493,96.30921428783617
final_eval,full,1,shock,1018,102.7846679503866,167.62825893439674
final_eval,full,1,recovery,2507,75.92499185830371,115.43709397293892
final_eval,full,2,overall,6599,97.79433952006038,156.000313957685
final_eval,full,2,normal,3074,84.26004850367467,124.46623655236564
final_eval,full,2,shock,1018,137.12858045770452,227.28708890702455
final_eval,full,2,recovery,2507,98.41745611752664,155.19547932231453
final_eval,full,3,overall,6599,116.64418129089529,187.7347315913307
final_eval,full,3,normal,3074,101.2037957724934,154.3557270904836
final_eval,full,3,shock,1018,158.27420172531632,255.22415258903754
final_eval,full,3,recovery,2507,118.67225639313978,192.6297352589544
final_eval,full,6,overall,6599,129.37156186634326,203.46203705917404
final_eval,full,6,normal,3074,111.79089608148968,169.72648641281864
final_eval,full,6,shock,1018,171.1686248945824,269.13397248380164
final_eval,full,6,recovery,2507,133.9561476102174,210.31216119086466
final_eval,minus_E2,1,overall,6599,75.62436724650692,117.21751536864778
final_eval,minus_E2,1,normal,3074,66.3932414949429,96.29077205472079
final_eval,minus_E2,1,shock,1018,103.0041544474632,168.24330956498133
final_eval,minus_E2,1,recovery,2507,75.8253473780324,115.34227406059127
final_eval,minus_E2,2,overall,6599,97.7878954897729,156.0370037911112
final_eval,minus_E2,2,normal,3074,84.26004847080462,124.46623650274366
final_eval,minus_E2,2,shock,1018,137.1572933323165,227.47893523740913
final_eval,minus_E2,2,recovery,2507,98.38883475287585,155.1784299078194
final_eval,minus_E2,3,overall,6599,116.5652703804096,187.85382821165902
final_eval,minus_E2,3,normal,3074,101.11730792439805,154.3118840935305
final_eval,minus_E2,3,shock,1018,158.4467551824881,255.9312962879537
final_eval,minus_E2,3,recovery,2507,118.5005256900481,192.59744536766166
final_eval,minus_E2,6,overall,6599,129.36138886990386,203.53888881143249
final_eval,minus_E2,6,normal,3074,111.79177565700881,169.72708475271796
final_eval,minus_E2,6,shock,1018,171.13195721413086,269.5170191339774
final_eval,minus_E2,6,recovery,2507,133.94318082922427,210.30812289948742
final_eval,minus_E3,1,overall,6599,75.69268629850596,117.1488292083674
final_eval,minus_E3,1,normal,3074,66.52575370290891,96.3076542136123
final_eval,minus_E3,1,shock,1018,102.80761913203912,167.73796333540776
final_eval,minus_E3,1,recovery,2507,75.92250248292102,115.44013423798575
final_eval,minus_E3,2,overall,6599,97.78528559074226,156.01465033075934
final_eval,minus_E3,2,normal,3074,84.26004839144967,124.46623642353451
final_eval,minus_E3,2,shock,1018,137.12526597450304,227.36548172358692
final_eval,minus_E3,2,recovery,2507,98.39497012203742,155.18678597268078
final_eval,minus_E3,3,overall,6599,116.6593646033756,187.8110819054077
final_eval,minus_E3,3,normal,3074,101.2038887566693,154.35589295988927
final_eval,minus_E3,3,shock,1018,158.37202047908065,255.58738763784075
final_eval,minus_E3,3,recovery,2507,118.67238776704029,192.6299128557177
final_eval,minus_E3,6,overall,6599,129.3411176017907,203.59333700768713
final_eval,minus_E3,6,normal,3074,111.74191150761362,169.75946641832587
final_eval,minus_E3,6,shock,1018,171.11615721956716,269.60975624313033
final_eval,minus_E3,6,recovery,2507,133.95737974882056,210.36652641258425
final_eval,minus_E4,1,overall,6599,80.84785836949,124.31639969658168
final_eval,minus_E4,1,normal,3074,72.12708384019807,104.13749299568026
final_eval,minus_E4,1,shock,1018,106.8247648766779,174.6826064824324
final_eval,minus_E4,1,recovery,2507,80.99272078621358,122.44202799276151
final_eval,minus_E4,2,overall,6599,107.38567160747344,168.056932449286
final_eval,minus_E4,2,normal,3074,93.38568539184462,136.48238475853864
final_eval,minus_E4,2,shock,1018,144.1854553165542,235.98191026310135
final_eval,minus_E4,2,recovery,2507,109.6089575312863,169.96895545243413
final_eval,minus_E4,3,overall,6599,123.763640180585,195.26255676876383
final_eval,minus_E4,3,normal,3074,108.46217258207388,163.34767427396363
final_eval,minus_E4,3,shock,1018,162.28091269829366,258.2323184153799
final_eval,minus_E4,3,recovery,2507,126.88535058138108,201.40810384318928
final_eval,minus_E4,6,overall,6599,137.5791523005446,212.1420894589167
final_eval,minus_E4,6,normal,3074,120.48236352172242,178.96953059888503
final_eval,minus_E4,6,shock,1018,173.60030463051154,273.3032277756933
final_eval,minus_E4,6,recovery,2507,143.91580791849157,221.0352843646341
final_eval,minus_E5,1,overall,6599,81.11916581056579,123.43333552879766
final_eval,minus_E5,1,normal,3074,73.258433293383,105.89874832195432
final_eval,minus_E5,1,shock,1018,106.3558623815504,169.42754988723078
final_eval,minus_E5,1,recovery,2507,80.51004520767688,121.23065757522708
final_eval,minus_E5,2,overall,6599,100.68064478711126,159.7754735374603
final_eval,minus_E5,2,normal,3074,87.19949986482595,128.82396998098747
final_eval,minus_E5,2,shock,1018,140.413725118582,231.87345500309314
final_eval,minus_E5,2,recovery,2507,101.07664148183314,158.16131492385088
final_eval,minus_E5,3,overall,6599,119.62598572465183,191.6120444999779
final_eval,minus_E5,3,normal,3074,104.10643949765253,158.1506704978539
final_eval,minus_E5,3,shock,1018,161.25173362083203,259.7444320105575
final_eval,minus_E5,3,recovery,2507,121.75285997414696,196.41390084122312
final_eval,minus_E5,6,overall,6599,131.6071499714688,206.23959073930112
final_eval,minus_E5,6,normal,3074,113.57254269593491,172.39819521709884
final_eval,minus_E5,6,shock,1018,175.5894712918842,273.5120360706629
final_eval,minus_E5,6,recovery,2507,135.8609910806863,212.4643793469257
final_eval,minus_E6,1,overall,6599,74.73372433241319,115.47968877935124
final_eval,minus_E6,1,normal,3074,65.72960976227104,94.52888648427685
final_eval,minus_E6,1,shock,1018,102.2448909186456,166.54073265142995
final_eval,minus_E6,1,recovery,2507,74.60300259481141,113.50371799697967
final_eval,minus_E6,2,overall,6599,96.35022758252033,153.68377111447018
final_eval,minus_E6,2,normal,3074,82.56774530791846,122.02985882274987
final_eval,minus_E6,2,shock,1018,137.74188542198107,226.11694306690768
final_eval,minus_E6,2,recovery,2507,96.4422271164474,152.1482978232667
final_eval,minus_E6,3,overall,6599,115.76170401046902,185.25103446553362
final_eval,minus_E6,3,normal,3074,99.94460239777237,150.32008214965634
final_eval,minus_E6,3,shock,1018,162.04237723798227,258.8925040637637
final_eval,minus_E6,3,recovery,2507,116.36323772080847,188.17436353369447
final_eval,minus_E6,6,overall,6599,130.8467915809977,206.27536187002514
final_eval,minus_E6,6,normal,3074,113.45569571172798,172.51685258533328
final_eval,minus_E6,6,shock,1018,172.68854529889362,273.0359201196699
final_eval,minus_E6,6,recovery,2507,135.18078576421155,212.68624035093882
