horizon,state,objective,status,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6,model
1,global,mse,ok,0.03610548348871228,0.09415005215577008,5.488773498207866e-18,0.2711959884183224,0.4690195529171153,0.12952892302008,full
1,normal,mse,ok,0.03552151079755318,0.0919961465376074,7.229426204815453e-19,0.2723934041654537,0.4708390203393958,0.12924991815998996,full
1,shock,mse,ok,0.04021928024055527,0.09971172838005028,0.005533458097599344,0.2651512979066571,0.4625607147402797,0.12682352063485833,full
1,recovery,mse,ok,0.035206426374011786,0.09527362052663862,0.0010211978431454564,0.2706219866839958,0.46747678542935966,0.1303999831428487,full
2,global,mse,ok,0.0,1.0299920638612292e-18,0.0,0.4056977377847756,0.25358517949398623,0.34071708272123824,full
2,normal,mse,ok,4.2521053952165877e-19,0.0,4.0284886971414524e-18,0.4065177287951352,0.25381621768315715,0.33966605352170764,full
2,shock,mse,ok,0.011471112297852379,0.0071065617937332015,0.0038888282197986107,0.392039204889006,0.25308098671674,0.33241330608286973,full
2,recovery,mse,ok,0.0,0.002159567452235441,0.0021309602375440316,0.4049485139231473,0.24947931555221523,0.341281642834858,full
3,global,mse,ok,3.384743657228184e-18,0.00708223156676715,4.570589783384205e-18,0.3306317639482137,0.25112832988891465,0.41115767459610464,full
3,normal,mse,ok,0.0,0.002474425152151875,1.835308638463255e-18,0.33058590185411785,0.2544376455555486,0.4125020274381816,full
3,shock,mse,ok,6.98474218441955e-05,0.021882114567769017,0.011730366120075933,0.32214197711484394,0.24646123935084108,0.3977144554246259,full
3,recovery,mse,ok,0.0,0.009172036981367562,0.0,0.3325602345583803,0.24615161809059008,0.41211611036966217,full
6,global,mse,ok,0.0,6.667843360785852e-18,0.009936437203465594,0.30675777601783255,0.2750048398930201,0.4083009468856817,full
6,normal,mse,ok,8.258571235729428e-19,0.0,0.004431613247888563,0.30760749378675106,0.28075813511899156,0.40720275784636883,full
6,shock,mse,ok,0.013114189000797407,0.01684008886049004,0.02782930453424978,0.2833972538307949,0.24420632187770497,0.414612841895963,full
6,recovery,mse,ok,0.0,0.00125916634194619,0.010245983614029962,0.3105903702268113,0.2725304783474922,0.40537400146972036,full
1,global,mse,ok,0.03870774660881573,,0.08415234496320252,0.272615533915173,0.4719404146360306,0.13258395987677818,minus_E2
1,normal,mse,ok,0.03817079835734694,,0.08182483718235499,0.273816685183967,0.4738308283454939,0.13235685093083718,minus_E2
1,shock,mse,ok,0.04367748385906381,,0.09134210418706613,0.2674364282939375,0.46666257706367514,0.13088140659625747,minus_E2
1,recovery,mse,ok,0.03797220822507227,,0.08569703609853595,0.2722997678227227,0.47043736236967143,0.1335936254839977,minus_E2
2,global,mse,ok,1.3152727604964776e-17,,3.1238575094738597e-18,0.40569773364562217,0.25358518640372857,0.3407170799506492,minus_E2
2,normal,mse,ok,1.810956441229694e-18,,1.009663273127126e-18,0.4065177244850282,0.25381622466248305,0.3396660508524887,minus_E2
2,shock,mse,ok,0.01277908041744983,,0.005721464957976035,0.39333982096320574,0.2543922349377407,0.33376739872362765,minus_E2
2,recovery,mse,ok,0.00023752928834251224,,0.0027701367845817397,0.4053816910315351,0.249894015697628,0.3417166271979127,minus_E2
3,global,mse,ok,0.0,,0.0014666685708392881,0.3332153792329211,0.25237431964499757,0.41294363255124206,minus_E2
3,normal,mse,ok,1.2527617289891102e-18,,0.0,0.3321136533724652,0.2546580030293272,0.4132283435982077,minus_E2
3,shock,mse,ok,0.0027122304206977192,,0.018312004427978007,0.3270294652944781,0.25003756684151457,0.40190873301533164,minus_E2
