method,horizon,group,level,clusters,coverage,ci95_low,ci95_high
global,1,shock,90,118,0.8192534381139489,0.7955904030625716,0.8465210595819844
global,1,shock,95,118,0.8860510805500982,0.8617346458469756,0.906084203230346
global,1,recovery,90,118,0.9046669325887515,0.8880076487927185,0.9184991101179252
global,1,recovery,95,118,0.9557239728759473,0.9438736455700077,0.9665676113130395
global,2,shock,90,118,0.8163064833005894,0.7858080132229428,0.8512639807437495
global,2,shock,95,118,0.881139489194499,0.8592719956256515,0.9061168720796257
global,2,recovery,90,118,0.9018747506980455,0.8848665130125805,0.9176627574005815
global,2,recovery,95,118,0.9481451934583167,0.934321042224705,0.9614106709299065
global,3,shock,90,118,0.8153241650294696,0.7880032848590913,0.8447755546865948
global,3,shock,95,118,0.8732809430255403,0.8514923100889368,0.901054435317711
global,3,recovery,90,118,0.898284802552852,0.8816729053515088,0.9162375678119349
global,3,recovery,95,118,0.9509373753490228,0.9361317075988432,0.9644999286010463
global,6,shock,90,118,0.8222003929273084,0.7882647095252763,0.8618125833232335
global,6,shock,95,118,0.8968565815324165,0.8627758204521191,0.926810251659719
global,6,recovery,90,118,0.8962903869166334,0.8755518142801405,0.9172291945560018
global,6,recovery,95,118,0.9497407259672915,0.9327579232228546,0.9639152438120736
state_stratified,1,shock,90,118,0.9096267190569745,0.8892344540622092,0.9309097293250008
state_stratified,1,shock,95,118,0.9548133595284872,0.9406926519977665,0.9674593922935028
state_stratified,1,recovery,90,118,0.9098524132429199,0.8938189727126805,0.9241477719582597
state_stratified,1,recovery,95,118,0.9557239728759473,0.9432385557365849,0.9655928687703893
state_stratified,2,shock,90,118,0.9076620825147348,0.8871664754508282,0.9286968567143856
state_stratified,2,shock,95,118,0.9528487229862476,0.9400175276752767,0.9674681613049909
state_stratified,2,recovery,90,118,0.9090546469884324,0.8939639051644547,0.9250310734027113
state_stratified,2,recovery,95,118,0.9537295572397287,0.9388595726997371,0.9661072036807224
state_stratified,3,shock,90,118,0.9155206286836935,0.8964659752914521,0.935994893240315
state_stratified,3,shock,95,118,0.9636542239685658,0.9511489527436385,0.9770099305462494
state_stratified,3,recovery,90,118,0.9050658157159952,0.8861843107387662,0.9208203217781555
state_stratified,3,recovery,95,118,0.9501396090945353,0.9346742713206189,0.9621424298964674
state_stratified,6,shock,90,118,0.9214145383104125,0.888354458041958,0.9475506311044978
state_stratified,6,shock,95,118,0.9538310412573674,0.9319141950942295,0.9756020806672256
state_stratified,6,recovery,90,118,0.9058635819704827,0.8841954754453749,0.9255087513956628
state_stratified,6,recovery,95,118,0.9545273234942162,0.9378556881424905,0.9688068863092396
