method,horizon,group,level,n,coverage,mean_width,median_pool_size
global,1,overall,90,6599,0.9021063797545082,320.0520631959208,2160.0
global,1,overall,95,6599,0.9504470374299137,419.34778247525594,2160.0
global,1,normal,90,3074,0.9274560832791151,314.70347197874014,2160.0
global,1,normal,95,3074,0.9674690956408588,410.7470904688074,2160.0
global,1,shock,90,1018,0.8192534381139489,326.89977803837445,2160.0
global,1,shock,95,1018,0.8860510805500982,429.5095662333532,2160.0
global,1,recovery,90,2507,0.9046669325887515,323.8297240224049,2160.0
global,1,recovery,95,2507,0.9557239728759473,425.7673402582953,2160.0
global,2,overall,90,6599,0.9007425367479921,409.113086232993,2160.0
global,2,overall,95,6599,0.9471131989695408,535.2898377912546,2160.0
global,2,normal,90,3074,0.9277813923227066,399.7518925994022,2160.0
global,2,normal,95,3074,0.9681197137280416,519.8758730597415,2160.0
global,2,shock,90,1018,0.8163064833005894,421.97257789884003,2160.0
global,2,shock,95,1018,0.881139489194499,553.2118216550241,2160.0
global,2,recovery,90,2507,0.9018747506980455,415.36970638210573,2160.0
global,2,recovery,95,2507,0.9481451934583167,546.9124736154885,2160.0
global,3,overall,90,6599,0.8983179269586301,488.64767875820314,2160.0
global,3,overall,95,6599,0.9465070465222003,644.3348965654828,2160.0
global,3,normal,90,3074,0.9258295380611581,475.04083617799535,2160.0
global,3,normal,95,3074,0.9671437865972674,624.046865687403,2160.0
global,3,shock,90,1018,0.8153241650294696,506.364129935573,2160.0
global,3,shock,95,1018,0.8732809430255403,666.6134159875554,2160.0
global,3,recovery,90,2507,0.898284802552852,498.13794074184744,2160.0
global,3,recovery,95,2507,0.9509373753490228,660.1649221528575,2160.0
global,6,overall,90,6599,0.8999848461888165,529.9579039165594,2160.0
global,6,overall,95,6599,0.9513562661009244,723.8019737997171,2160.0
global,6,normal,90,3074,0.9287573194534808,514.2963526975179,2160.0
global,6,normal,95,3074,0.970722186076773,699.849852193746,2160.0
global,6,shock,90,1018,0.8222003929273084,539.7813327689217,2160.0
global,6,shock,95,1018,0.8968565815324165,740.398476740028,2160.0
global,6,recovery,90,2507,0.8962903869166334,545.1726457895667,2160.0
global,6,recovery,95,2507,0.9497407259672915,746.4320423372194,2160.0
state_stratified,1,overall,90,6599,0.9065009849977269,327.6255514598043,2141.0
state_stratified,1,overall,95,6599,0.954538566449462,423.24510093240883,2141.0
state_stratified,1,normal,90,3074,0.9027325959661678,283.22044433875845,2160.0
state_stratified,1,normal,95,3074,0.9534808067664281,357.91356530482426,2160.0
state_stratified,1,shock,90,1018,0.9096267190569745,460.1330172368667,666.5
state_stratified,1,shock,95,1018,0.9548133595284872,597.8335927156969,666.5
state_stratified,1,recovery,90,2507,0.9098524132429199,328.26723439919226,1717.0
state_stratified,1,recovery,95,2507,0.9557239728759473,432.45852569659223,1717.0
state_stratified,2,overall,90,6599,0.9055917563267162,420.304221112932,2140.0
state_stratified,2,overall,95,6599,0.9531747234429458,557.7219951251329,2140.0
state_stratified,2,normal,90,3074,0.902081977878985,351.06709187354846,2160.0
state_stratified,2,normal,95,3074,0.9528301886792453,458.29599555175423,2160.0
state_stratified,2,shock,90,1018,0.9076620825147348,630.5790932006266,665.5
state_stratified,2,shock,95,1018,0.9528487229862476,884.0128167721798,665.5
state_stratified,2,recovery,90,2507,0.9090546469884324,419.81563535170005,1716.0
state_stratified,2,recovery,95,2507,0.9537295572397287,547.1402106224895,1716.0
state_stratified,3,overall,90,6599,0.9071071374450674,511.81349148552533,2139.0
state_stratified,3,overall,95,6599,0.9552962570086376,665.5721903936682,2139.0
state_stratified,3,normal,90,3074,0.905985686402082,427.7120689204186,2160.0
state_stratified,3,normal,95,3074,0.9567338972023423,564.141347754344,2160.0
state_stratified,3,shock,90,1018,0.9155206286836935,813.252235894214,664.5
state_stratified,3,shock,95,1018,0.9636542239685658,1052.120865128114,664.5
state_stratified,3,recovery,90,2507,0.9050658157159952,492.5327300802971,1715.0
state_stratified,3,recovery,95,2507,0.9501396090945353,632.9801917473245,1715.0
state_stratified,6,overall,90,6599,0.9099863615699348,557.4028723473904,2136.0
state_stratified,6,overall,95,6599,0.9571147143506592,736.3501571819515,2136.0
state_stratified,6,normal,90,3074,0.9095640858815875,472.65305176185126,2160.0
state_stratified,6,normal,95,3074,0.9603122966818478,609.5806594963119,2160.0
state_stratified,6,shock,90,1018,0.9214145383104125,830.0751357589373,661.5
state_stratified,6,shock,95,1018,0.9538310412573674,1036.6853291773884,661.5
state_stratified,6,recovery,90,2507,0.9058635819704827,550.5981592747906,1713.0
state_stratified,6,recovery,95,2507,0.9545273234942162,769.8356900077594,1713.0
