horizon,state,status,fit_rows,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6
1,global,ok,4416,0.03610970983809646,0.09414303351860404,3.368044589501049e-07,0.271228260467539,0.46903600739522355,0.12948265197607797
1,normal,ok,2299,0.04663786457917022,0.036718376848515095,2.907683422103084e-07,0.2831733079776094,0.5287295055957449,0.10474065423061807
1,recovery,ok,1511,0.004834096878699497,0.1254428934217205,2.515810548206833e-07,0.2642344276473237,0.4046840225335481,0.2008043079376534
1,shock,ok,606,0.10817787453096323,0.2738079801856525,4.076594075545998e-07,0.19175885480959606,0.35388545454275566,0.07236942827162514
2,global,ok,4416,9.273366820651432e-06,2.704300360474296e-05,1.8085249735986455e-05,0.4056977874288012,0.2535218058637104,0.34072600508732703
2,normal,ok,2299,8.598949916044643e-11,4.641423328657165e-13,3.1917719185264697e-12,0.43181195906493075,0.26554830319491424,0.3026397376505096
2,recovery,ok,1511,8.660366724967581e-06,2.5265660687215785e-05,1.6894186780513922e-05,0.4282513182205001,0.16290196213240907,0.40879589943289824
2,shock,ok,606,0.16146096773479487,0.11490042228309177,3.1022003972923323e-07,0.18362371069478195,0.3562628158384952,0.1837517732287966
3,global,ok,4416,2.4824333030738454e-13,0.007109200865524098,2.388659519785439e-08,0.3305893575183518,0.25111701594166214,0.41118440178761856
3,normal,ok,2299,4.77752846257828e-10,3.5446215741361945e-08,1.1416328137917658e-09,0.2802343267756139,0.31593966454540856,0.403825971613376
3,recovery,ok,1511,1.0469743296926453e-08,0.011776494193925893,2.501011848019842e-08,0.4102400445332449,0.13684711934194804,0.44113630645101937
3,shock,ok,606,1.942019307859404e-08,0.1551412393535926,4.638887980470804e-08,0.3015951395412172,0.26807069860628713,0.2751928566898302
6,global,ok,4416,8.044822410940036e-12,4.859891742686883e-05,0.009948340212265367,0.3067393545130643,0.2750166541404933,0.4082470522087055
6,normal,ok,2299,7.535260295348804e-12,2.291716886503607e-08,4.839969195903877e-15,0.24709764994467392,0.4293854580695657,0.32351686906105137
6,recovery,ok,1511,4.0366944329912585e-09,1.9784844816399826e-05,0.00027588176344765764,0.4145847472578453,0.21673302599963096,0.36838655609756527
6,shock,ok,606,5.926860758027521e-10,3.0751995421072835e-06,0.18039290529884855,0.11355328705486634,2.7389492166877956e-07,0.7060504579591353
