combo,horizon,group,n_hours,MAE,RMSE
A0_E1,1,overall,6599,130.96400935589872,190.5498688732463
A0_E1,1,normal,3074,122.66136760539196,174.61366553652246
A0_E1,1,shock,1018,163.3936892922865,247.9076676420385
A0_E1,1,recovery,2507,127.97593858039615,182.29823680476682
A0_E1,2,overall,6599,143.02372071846784,213.94465201538858
A0_E1,2,normal,3074,132.08731763679512,189.9471698804992
A0_E1,2,shock,1018,187.00024691429044,291.3115101649986
A0_E1,2,recovery,2507,138.57633316590085,204.41076180903227
A0_E1,3,overall,6599,165.94195340416113,243.06198866917342
A0_E1,3,normal,3074,156.95037102335553,221.44833305639887
A0_E1,3,shock,1018,207.54528079198928,314.5246372365941
A0_E1,3,recovery,2507,160.0735596896767,234.96663539582724
A0_E1,6,overall,6599,173.00174088195203,250.29546489467813
A0_E1,6,normal,3074,159.4462441414348,222.23733064786938
A0_E1,6,shock,1018,216.5133505040976,324.35768924923076
A0_E1,6,recovery,2507,171.95458427445527,248.23927093847416
A1_E1_E2,1,overall,6599,105.03023630393501,160.0188924303873
A1_E1_E2,1,normal,3074,101.60481617015463,153.20858250933634
A1_E1_E2,1,shock,1018,119.16129366849297,186.53463443692672
A1_E1_E2,1,recovery,2507,103.49227263984278,156.49380870881484
A1_E1_E2,2,overall,6599,144.06426108769355,213.1222183150213
A1_E1_E2,2,normal,3074,139.5997926250635,200.45659194702614
A1_E1_E2,2,shock,1018,167.69489920947626,258.33506663104447
A1_E1_E2,2,recovery,2507,139.942915433984,207.8182364472889
A1_E1_E2,3,overall,6599,168.05074789633622,243.067611307664
A1_E1_E2,3,normal,3074,163.54202436551464,229.80000134696226
A1_E1_E2,3,shock,1018,193.63374115200995,288.37055707758896
A1_E1_E2,3,recovery,2507,163.19088710633608,238.7432917275301
A1_E1_E2,6,overall,6599,182.53735740863678,258.83554697072094
A1_E1_E2,6,normal,3074,173.3145828060387,237.16935251284235
A1_E1_E2,6,shock,1018,213.65413293231586,311.69628458593854
A1_E1_E2,6,recovery,2507,181.2106448618801,260.6272088988275
A2_E1_E3,1,overall,6599,104.62602714959836,159.43781975071477
A2_E1_E3,1,normal,3074,100.88543395570203,152.31400388917064
A2_E1_E3,1,shock,1018,119.81487593788987,186.66227337424345
A2_E1_E3,1,recovery,2507,103.04498822321489,155.9406414871466
A2_E1_E3,2,overall,6599,143.406624266617,212.21187968906494
A2_E1_E3,2,normal,3074,138.04004698365327,198.68360963810204
A2_E1_E3,2,shock,1018,169.09220612572622,259.03747592230604
A2_E1_E3,2,recovery,2507,139.5569777709079,207.0975096000035
A2_E1_E3,3,overall,6599,166.74955391342922,241.6034625849795
A2_E1_E3,3,normal,3074,161.69442602019478,227.6933900563497
A2_E1_E3,3,shock,1018,193.7554575955915,288.4212588347308
A2_E1_E3,3,recovery,2507,161.98188466546816,237.27685316454048
A2_E1_E3,6,overall,6599,179.9292953756025,255.87508023437624
A2_E1_E3,6,normal,3074,170.98789222611975,234.39167379484974
A2_E1_E3,6,shock,1018,213.0001954707647,312.5973881117477
A2_E1_E3,6,recovery,2507,177.46407678151994,255.52543821978557
A3_E1_E4,1,overall,6599,78.75589958857162,122.69042795103836
A3_E1_E4,1,normal,3074,69.72299995763849,101.98899967853347
A3_E1_E4,1,shock,1018,110.28790532269501,177.83373975126403
A3_E1_E4,1,recovery,2507,77.02775903338646,118.43493798416873
A3_E1_E4,2,overall,6599,99.89025497836086,159.2222772360237
A3_E1_E4,2,normal,3074,86.56086004678296,127.8126736371518
A3_E1_E4,2,shock,1018,143.71492876701618,236.5312907009224
A3_E1_E4,2,recovery,2507,98.4387360724252,154.8638153827525
A3_E1_E4,3,overall,6599,118.1687934410952,189.07287724172184
A3_E1_E4,3,normal,3074,101.93637375887182,152.6514045663843
A3_E1_E4,3,shock,1018,165.83969545783012,266.88608368577553
A3_E1_E4,3,recovery,2507,118.71505584640776,191.3180161709858
A3_E1_E4,6,overall,6599,129.845655873471,205.38098608287478
A3_E1_E4,6,normal,3074,110.15861476919372,170.34862247212791
A3_E1_E4,6,shock,1018,179.67178350396094,280.84565451630044
A3_E1_E4,6,recovery,2507,133.75270271300414,208.37794203429448
A4_E1_E5,1,overall,6599,80.40097760758955,124.68452978947504
A4_E1_E5,1,normal,3074,70.73415932571623,101.59743832967276
A4_E1_E5,1,shock,1018,110.39289811466566,182.4026520166118
A4_E1_E5,1,recovery,2507,80.07549867750384,121.46892928342274
A4_E1_E5,2,overall,6599,104.15670192479753,164.40814999823922
A4_E1_E5,2,normal,3074,90.93032386263772,133.43902815134297
A4_E1_E5,2,shock,1018,141.03951365142308,234.09359001215506
A4_E1_E5,2,recovery,2507,105.39770065849292,164.511415125991
A4_E1_E5,3,overall,6599,122.75873426769638,193.55898792528475
A4_E1_E5,3,normal,3074,108.12385467093966,162.5394454029698
A4_E1_E5,3,shock,1018,166.5558318622621,265.90474702302987
A4_E1_E5,3,recovery,2507,122.91915490158637,193.6793610634369
A4_E1_E5,6,overall,6599,140.5432384416455,219.97733715378433
A4_E1_E5,6,normal,3074,123.50278448473813,189.3269375174816
A4_E1_E5,6,shock,1018,181.4709245040958,286.52432766617187
A4_E1_E5,6,recovery,2507,144.81845625255858,223.79875129409726
A5_E1_E6,1,overall,6599,106.17489316887472,163.69361054541037
A5_E1_E6,1,normal,3074,97.89543018256929,146.0847721442137
A5_E1_E6,1,shock,1018,132.69330198051264,212.89837336797197
A5_E1_E6,1,recovery,2507,105.55874998963874,161.12027227647084
A5_E1_E6,2,overall,6599,121.43171950893262,187.019512718307
A5_E1_E6,2,normal,3074,107.26732487938824,155.42524571357828
A5_E1_E6,2,shock,1018,163.44492580771353,262.76950715089805
A5_E1_E6,2,recovery,2507,121.73961942080358,185.4922378370569
A5_E1_E6,3,overall,6599,138.52853245542337,215.15702926690307
A5_E1_E6,3,normal,3074,123.75556254867365,185.1774623014267
A5_E1_E6,3,shock,1018,179.12334598226127,282.23360795126456
A5_E1_E6,3,recovery,2507,140.15860398435345,217.85599620100382
A5_E1_E6,6,overall,6599,148.85147248816818,227.16410504432906
A5_E1_E6,6,normal,3074,133.06834697587124,197.67663192508124
A5_E1_E6,6,shock,1018,189.33828460552795,292.49491937961426
A5_E1_E6,6,recovery,2507,151.764018594801,230.60479743928175
