horizon,expert_i,expert_j,corr
1,E1,E1,1.0
1,E1,E2,0.4840693694724136
1,E1,E3,0.4835760635027208
1,E1,E4,0.4208476090546796
1,E1,E5,0.41266359622433013
1,E1,E6,0.7083076676474811
1,E2,E1,0.4840693694724136
1,E2,E2,1.0
1,E2,E3,0.9891708898666413
1,E2,E4,0.4442930157670741
1,E2,E5,0.5035738889694629
1,E2,E6,0.4969756580494752
1,E3,E1,0.4835760635027208
1,E3,E2,0.9891708898666413
1,E3,E3,1.0
1,E3,E4,0.45131106785271147
1,E3,E5,0.49353830713121827
1,E3,E6,0.503893414217658
1,E4,E1,0.4208476090546796
1,E4,E2,0.4442930157670741
1,E4,E3,0.45131106785271147
1,E4,E4,1.0
1,E4,E5,0.7085882629602357
1,E4,E6,0.5919868095961796
1,E5,E1,0.41266359622433013
1,E5,E2,0.5035738889694629
1,E5,E3,0.49353830713121827
1,E5,E4,0.7085882629602357
1,E5,E5,1.0
1,E5,E6,0.6633380231063827
1,E6,E1,0.7083076676474811
1,E6,E2,0.4969756580494752
1,E6,E3,0.503893414217658
1,E6,E4,0.5919868095961796
1,E6,E5,0.6633380231063827
1,E6,E6,1.0
2,E1,E1,1.0
2,E1,E2,0.6092144321084143
2,E1,E3,0.6131176259916801
2,E1,E4,0.5482954136859388
2,E1,E5,0.6424993476860736
2,E1,E6,0.747044986418721
2,E2,E1,0.6092144321084143
2,E2,E2,1.0
2,E2,E3,0.9888340318457512
2,E2,E4,0.45320810993779953
2,E2,E5,0.5352426454773523
2,E2,E6,0.551186068259936
2,E3,E1,0.6131176259916801
2,E3,E2,0.9888340318457512
2,E3,E3,1.0
2,E3,E4,0.4557542625617768
2,E3,E5,0.534652819747329
2,E3,E6,0.553801195896793
2,E4,E1,0.5482954136859388
2,E4,E2,0.45320810993779953
2,E4,E3,0.4557542625617768
2,E4,E4,1.0
2,E4,E5,0.7610241008290485
2,E4,E6,0.6561130312481448
2,E5,E1,0.6424993476860736
2,E5,E2,0.5352426454773523
2,E5,E3,0.534652819747329
2,E5,E4,0.7610241008290485
2,E5,E5,1.0
2,E5,E6,0.7746068561084511
2,E6,E1,0.747044986418721
2,E6,E2,0.551186068259936
2,E6,E3,0.553801195896793
2,E6,E4,0.6561130312481448
2,E6,E5,0.7746068561084511
2,E6,E6,1.0
3,E1,E1,1.0
3,E1,E2,0.6404967497698085
3,E1,E3,0.6416411936596205
3,E1,E4,0.5545089319975902
3,E1,E5,0.6136140118196107
3,E1,E6,0.7485031270485939
3,E2,E1,0.6404967497698085
3,E2,E2,1.0
3,E2,E3,0.9906206459263303
3,E2,E4,0.3972355388307635
3,E2,E5,0.39050570532238826
3,E2,E6,0.4717173334515082
3,E3,E1,0.6416411936596205
3,E3,E2,0.9906206459263303
3,E3,E3,1.0
3,E3,E4,0.3891080816050441
3,E3,E5,0.3911283776727982
3,E3,E6,0.46852561038964613
3,E4,E1,0.5545089319975902
3,E4,E2,0.3972355388307635
3,E4,E3,0.3891080816050441
3,E4,E4,1.0
3,E4,E5,0.7835475946907732
3,E4,E6,0.6796087941078726
3,E5,E1,0.6136140118196107
3,E5,E2,0.39050570532238826
3,E5,E3,0.3911283776727982
3,E5,E4,0.7835475946907732
3,E5,E5,1.0
3,E5,E6,0.7238675113473862
3,E6,E1,0.7485031270485939
3,E6,E2,0.4717173334515082
3,E6,E3,0.46852561038964613
3,E6,E4,0.6796087941078726
3,E6,E5,0.7238675113473862
3,E6,E6,1.0
6,E1,E1,1.0
6,E1,E2,0.6411990009687318
6,E1,E3,0.6369096045297262
6,E1,E4,0.6258751855850933
6,E1,E5,0.6195255484371613
6,E1,E6,0.6925977553754975
6,E2,E1,0.6411990009687318
6,E2,E2,1.0
6,E2,E3,0.9859800669662631
6,E2,E4,0.4402112746389146
6,E2,E5,0.35258626402490684
6,E2,E6,0.44104551307011863
6,E3,E1,0.6369096045297262
6,E3,E2,0.9859800669662631
6,E3,E3,1.0
6,E3,E4,0.41558876377888126
6,E3,E5,0.34701441758157386
6,E3,E6,0.41817174706341265
6,E4,E1,0.6258751855850933
6,E4,E2,0.4402112746389146
6,E4,E3,0.41558876377888126
6,E4,E4,1.0
6,E4,E5,0.7882303633938347
6,E4,E6,0.6932442056308018
6,E5,E1,0.6195255484371613
6,E5,E2,0.35258626402490684
6,E5,E3,0.34701441758157386
6,E5,E4,0.7882303633938347
6,E5,E5,1.0
6,E5,E6,0.7022288074600875
6,E6,E1,0.6925977553754975
6,E6,E2,0.44104551307011863
6,E6,E3,0.41817174706341265
6,E6,E4,0.6932442056308018
6,E6,E5,0.7022288074600875
6,E6,E6,1.0
