horizon,outcome,comparison,estimate,cluster_se,cluster_pvalue,n,n_blocks,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_valid_replicates
1,signed_residual,recent_rain_minus_long_dry,-30.261677510325303,17.80213820270834,0.08915160978460383,3455,40,-66.5688649830251,8.683335687868686,484
1,absolute_residual,recent_rain_minus_long_dry,-11.90070191488225,11.786106036852871,0.3126280374386031,3455,40,-32.83385823292439,16.11888651535643,488
1,signed_residual,recovery_minus_long_dry,-31.27591833491059,14.322125592945735,0.028980743762620602,3455,40,-62.54577717745469,0.6785072112321636,487
1,absolute_residual,recovery_minus_long_dry,-23.814334584062895,7.9074607686901075,0.0025985035518500273,3455,40,-39.30975604179267,-7.9012953293319415,486
2,signed_residual,recent_rain_minus_long_dry,-20.344538146119845,16.970863812793198,0.23060877963213955,3455,40,-50.25106245361065,16.875139143780896,474
2,absolute_residual,recent_rain_minus_long_dry,-19.10865312800445,9.7789165529566,0.050693354633207344,3455,40,-35.776963381706594,5.240085550318522,476
2,signed_residual,recovery_minus_long_dry,-34.014954652051685,15.450040773496179,0.027692912945596938,3455,40,-62.383220367209034,2.238778155613335,472
2,absolute_residual,recovery_minus_long_dry,-8.154113959968582,10.2499265147227,0.42630583899377006,3455,40,-29.846911435694185,10.856742424117742,472
3,signed_residual,recent_rain_minus_long_dry,-31.215233610532056,20.42658625181031,0.12647109715521565,3455,40,-73.95492182771581,7.768379946990521,464
3,absolute_residual,recent_rain_minus_long_dry,-13.824061296435145,13.257021881454426,0.29705355023184565,3455,40,-36.16083216347289,19.014637165912855,477
3,signed_residual,recovery_minus_long_dry,-35.08741674489029,18.40779120435801,0.05663493597138068,3455,40,-65.9464408509009,6.8756395814800255,466
3,absolute_residual,recovery_minus_long_dry,-9.843992901117746,12.511516666414105,0.43140215488841704,3455,40,-33.14830421072713,14.60682978374771,469
6,signed_residual,recent_rain_minus_long_dry,-62.90768552864099,15.545834950339861,5.196821734159189e-05,3455,40,-92.37914257387497,-28.562290464461345,473
6,absolute_residual,recent_rain_minus_long_dry,-23.428468093251947,11.277491385716672,0.037759688877284585,3455,40,-48.0823945528939,1.4316722472333125,471
6,signed_residual,recovery_minus_long_dry,-9.57561171599345,23.301837547928407,0.681117959850285,3455,40,-51.582917014760575,42.9319241894666,470
6,absolute_residual,recovery_minus_long_dry,7.406473125365211,16.736165426068247,0.6580963096945035,3455,40,-18.49856817808097,47.41452218308801,462
