utc_hour,path_group,split,rain,past_rain_12h,past_rain_24h,last_rain_lag_h,issue_hour,issue_weekday,issue_month,week_block,target_hour_h1,target_weekday_h1,target_month_h1,target_hour_h2,target_weekday_h2,target_month_h2,target_hour_h3,target_weekday_h3,target_month_h3,target_hour_h6,target_weekday_h6,target_month_h6,signed_residual_h1,signed_residual_h2,signed_residual_h3,signed_residual_h6,absolute_residual_h1,absolute_residual_h2,absolute_residual_h3,absolute_residual_h6
2025-04-01 07:00:00+00:00,recovery,final_eval,0.0,16.799999999999997,17.499999999999996,1,7,1,4,2025-13,8,1,4,9,1,4,10,1,4,13,1,4,1.5994000000000028,32.323364,158.80148000000003,23.242430000000013,1.5994000000000028,32.323364,158.80148000000003,23.242430000000013
2025-04-01 08:00:00+00:00,recovery,final_eval,0.0,16.799999999999997,17.499999999999996,2,8,1,4,2025-13,9,1,4,10,1,4,11,1,4,14,1,4,27.74287000000001,163.84818,282.58984,-151.97784000000001,27.74287000000001,163.84818,282.58984,151.97784000000001
2025-04-01 09:00:00+00:00,recovery,final_eval,0.0,16.4,17.499999999999996,3,9,1,4,2025-13,10,1,4,11,1,4,12,1,4,15,1,4,5.7389499999999884,197.69727,613.4647,-269.61389999999994,5.7389499999999884,197.69727,613.4647,269.61389999999994
2025-04-02 07:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,7,2,4,2025-13,8,2,4,9,2,4,10,2,4,13,2,4,-4.972850000000001,32.98428,151.41922,11.738299999999981,4.972850000000001,32.98428,151.41922,11.738299999999981
2025-04-02 08:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,8,2,4,2025-13,9,2,4,10,2,4,11,2,4,14,2,4,18.03218000000001,130.27292,241.9552,-147.45434999999998,18.03218000000001,130.27292,241.9552,147.45434999999998
2025-04-02 09:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,9,2,4,2025-13,10,2,4,11,2,4,12,2,4,15,2,4,-17.054499999999962,178.3628,486.0951,-293.06729999999993,17.054499999999962,178.3628,486.0951,293.06729999999993
2025-04-02 10:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,10,2,4,2025-13,11,2,4,12,2,4,13,2,4,16,2,4,152.5245,501.88059999999996,-132.2618,-224.05179999999996,152.5245,501.88059999999996,132.2618,224.05179999999996
2025-04-02 11:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,11,2,4,2025-13,12,2,4,13,2,4,14,2,4,17,2,4,488.3184000000001,-13.498700000000099,-280.76149999999996,-95.71019999999999,488.3184000000001,13.498700000000099,280.76149999999996,95.71019999999999
2025-04-02 12:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,12,2,4,2025-13,13,2,4,14,2,4,15,2,4,18,2,4,-70.11619999999994,-185.42693999999995,-53.75867000000005,9.384000000000015,70.11619999999994,185.42693999999995,53.75867000000005,9.384000000000015
2025-04-02 13:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,13,2,4,2025-13,14,2,4,15,2,4,16,2,4,19,2,4,-262.7795,-164.42426,-133.03750000000002,313.26649999999995,262.7795,164.42426,133.03750000000002,313.26649999999995
