combo,horizon,group,n_hours,MAE,RMSE
FULL_E1_E6,1,overall,6599,75.64823901331076,116.86729110634516
FULL_E1_E6,1,normal,3074,65.79429394809159,95.59347143129928
FULL_E1_E6,1,shock,1018,101.53333735276476,165.14587115914523
FULL_E1_E6,1,recovery,2507,77.21983734634605,116.92488430885348
FULL_E1_E6,2,overall,6599,98.05085883544096,155.94847331009296
FULL_E1_E6,2,normal,3074,83.63436178782922,123.67896762075696
FULL_E1_E6,2,shock,1018,138.0497811390902,226.21852506803685
FULL_E1_E6,2,recovery,2507,99.48580459501152,156.458900832442
FULL_E1_E6,3,overall,6599,117.20586492647485,187.42121230282265
FULL_E1_E6,3,normal,3074,101.30946432707395,154.46573811969412
FULL_E1_E6,3,shock,1018,158.84256874727225,251.00220952187425
FULL_E1_E6,3,recovery,2507,119.79037667477422,193.96602785534512
FULL_E1_E6,6,overall,6599,130.7743419744549,205.3195674910115
FULL_E1_E6,6,normal,3074,111.86298464521578,170.441062422009
FULL_E1_E6,6,shock,1018,184.4543451906312,280.12281671936466
FULL_E1_E6,6,recovery,2507,132.1653548009462,208.52097355388247
