horizon,state,status,fit_rows,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6
1,global,ok,4416,0.0361097098380964,0.094143033518604,3.368044589501049e-07,0.271228260467539,0.4690360073952235,0.1294826519760779
1,normal,ok,2299,0.0466378645791702,0.036718376848515,2.907683422103084e-07,0.2831733079776094,0.5287295055957449,0.104740654230618
1,recovery,ok,1511,0.0048340968786994,0.1254428934217205,2.515810548206833e-07,0.2642344276473237,0.4046840225335481,0.2008043079376534
1,shock,ok,606,0.1081778745309632,0.2738079801856525,4.076594075545998e-07,0.191758854809596,0.3538854545427556,0.0723694282716251
2,global,ok,4416,9.273366820651432e-06,2.704300360474296e-05,1.8085249735986452e-05,0.4056977874288012,0.2535218058637104,0.340726005087327
2,normal,ok,2299,8.598949916044642e-11,4.641423328657165e-13,3.1917719185264697e-12,0.4318119590649307,0.2655483031949142,0.3026397376505096
2,recovery,ok,1511,8.660366724967581e-06,2.5265660687215785e-05,1.6894186780513922e-05,0.4282513182205001,0.162901962132409,0.4087958994328982
2,shock,ok,606,0.1614609677347948,0.1149004222830917,3.102200397292333e-07,0.1836237106947819,0.3562628158384952,0.1837517732287966
3,global,ok,4416,2.4824333030738454e-13,0.007109200865524,2.3886595197854394e-08,0.3305893575183518,0.2511170159416621,0.4111844017876185
3,normal,ok,2299,4.77752846257828e-10,3.5446215741361945e-08,1.1416328137917658e-09,0.2802343267756139,0.3159396645454085,0.403825971613376
3,recovery,ok,1511,1.0469743296926453e-08,0.0117764941939258,2.501011848019842e-08,0.4102400445332449,0.136847119341948,0.4411363064510193
3,shock,ok,606,1.9420193078594043e-08,0.1551412393535926,4.6388879804708045e-08,0.3015951395412172,0.2680706986062871,0.2751928566898302
6,global,ok,4416,8.044822410940036e-12,4.859891742686883e-05,0.0099483402122653,0.3067393545130643,0.2750166541404933,0.4082470522087055
6,normal,ok,2299,7.535260295348804e-12,2.2917168865036073e-08,4.839969195903877e-15,0.2470976499446739,0.4293854580695657,0.3235168690610513
6,recovery,ok,1511,4.036694432991258e-09,1.9784844816399826e-05,0.0002758817634476,0.4145847472578453,0.2167330259996309,0.3683865560975652
6,shock,ok,606,5.92686075802752e-10,3.0751995421072835e-06,0.1803929052988485,0.1135532870548663,2.738949216687796e-07,0.7060504579591353
