horizon,group,level,n_hours,coverage,mean_width,median_pool_size
1,overall,90,6599,0.9022579178663434,320.26305765363696,2160.0
1,overall,95,6599,0.9512047279890893,416.31856932258637,2160.0
1,normal,90,3074,0.9294079375406636,314.39635073415207,2160.0
1,normal,95,3074,0.9687703318152244,409.2762672344485,2160.0
1,shock,90,1018,0.8241650294695482,327.88511426068834,2160.0
1,shock,95,1018,0.8939096267190569,424.9862710735139,2160.0
1,recovery,90,2507,0.9006781013163143,324.3615831600262,2160.0
1,recovery,95,2507,0.9529317909852413,421.43397268776044,2160.0
2,overall,90,6599,0.9019548416426731,409.68990161106757,2160.0
2,overall,95,6599,0.9474162751932111,537.560403509862,2160.0
2,normal,90,3074,0.9300585556278465,399.72088539524214,2160.0
2,normal,95,3074,0.9694209499024072,522.4110075755335,2160.0
2,shock,90,1018,0.8212180746561886,425.28828920131804,2160.0
2,shock,95,1018,0.8831041257367387,557.6634676169789,2160.0
2,recovery,90,2507,0.9002792181890706,415.5796492299636,2160.0
2,recovery,95,2507,0.9465496609493419,547.9729778381753,2160.0
3,overall,90,6599,0.8996817699651463,490.6210112768385,2160.0
3,overall,95,6599,0.9465070465222003,639.8356108148505,2160.0
3,normal,90,3074,0.9268054651919323,477.3640548049377,2160.0
3,normal,95,3074,0.9671437865972674,620.6613345477574,2160.0
3,shock,90,1018,0.8182711198428291,509.13118573253837,2160.0
3,shock,95,1018,0.8752455795677799,661.204454291693,2160.0
3,recovery,90,2507,0.8994814519345832,499.35995287983854,2160.0
3,recovery,95,2507,0.9501396090945353,654.6693733141,2160.0
6,overall,90,6599,0.9019548416426731,533.9089363064038,2160.0
6,overall,95,6599,0.9504470374299137,739.962698811656,2160.0
6,normal,90,3074,0.9333116460637606,519.0173837465285,2160.0
6,normal,95,3074,0.9713728041639558,712.3381214159052,2160.0
6,shock,90,1018,0.8055009823182712,544.4666007219195,2160.0
6,shock,95,1018,0.8831041257367387,762.336468392653,2160.0
6,recovery,90,2507,0.9026725169525329,547.8813855262131,2160.0
6,recovery,95,2507,0.9521340247307539,764.7498761076602,2160.0
